,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,Damian Lillard,58,36.9,28.9,9.2,20.0,45.7,3.9,9.9,39.4,6.7,7.6,88.8,0.5,3.8,4.3,7.8,1.0,0.4,2.9,27.8
1,James Harden,61,36.7,34.4,9.9,22.7,43.5,4.4,12.6,35.2,10.1,11.8,86.1,1.0,5.3,6.4,7.4,1.7,0.9,4.5,31.8
2,Kyle Lowry,52,36.6,19.7,5.9,14.3,41.7,2.9,8.3,35.4,4.9,5.7,86.1,0.6,4.3,4.8,7.7,1.3,0.4,3.0,21.9
3,Devin Booker,62,36.1,26.1,8.8,18.0,48.7,2.0,5.6,36.0,6.5,7.1,91.6,0.4,3.7,4.2,6.6,0.7,0.3,3.9,24.0
4,Bradley Beal,57,36.0,30.5,10.4,22.9,45.5,3.0,8.4,35.3,6.8,8.0,84.2,0.9,3.3,4.2,6.1,1.2,0.4,3.4,25.4
5,CJ McCollum,62,36.0,22.5,8.9,19.5,45.3,2.8,7.4,38.0,2.0,2.6,75.0,0.7,3.4,4.1,4.3,0.7,0.6,1.9,19.1
6,Russell Westbrook,53,35.9,27.5,10.7,22.6,47.4,1.0,3.8,25.4,5.1,6.5,77.7,1.8,6.3,8.0,7.0,1.7,0.3,4.5,26.7
7,Ben Simmons,54,35.8,16.7,6.7,11.4,58.5,0.0,0.1,33.3,3.3,5.3,62.7,2.0,5.8,7.8,8.2,2.1,0.6,3.6,25.2
8,Fred VanVleet,48,35.8,17.6,6.0,14.6,40.9,2.7,7.0,38.8,2.9,3.5,84.3,0.4,3.4,3.8,6.6,1.9,0.3,2.3,18.7
9,Pascal Siakam,53,35.5,23.6,8.7,18.9,45.9,2.2,6.0,35.9,4.2,5.2,80.0,1.1,6.5,7.5,3.6,1.0,0.9,2.5,23.0
10,Trae Young,60,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8.0,9.3,86.0,0.5,3.7,4.3,9.3,1.1,0.1,4.8,26.6
11,Shai Gilgeous-Alexander,63,35.1,19.3,7.0,14.8,47.3,1.2,3.5,35.1,4.0,5.0,80.1,0.7,5.4,6.1,3.3,1.1,0.7,1.9,19.8
12,Devonte' Graham,63,35.1,18.2,5.8,15.3,38.2,3.5,9.3,37.3,3.0,3.7,82.0,0.7,2.7,3.4,7.5,1.0,0.2,2.9,17.3
13,Jrue Holiday,55,34.9,19.6,7.7,16.9,45.2,2.1,5.9,35.7,2.2,3.1,70.0,1.3,3.6,4.9,6.9,1.7,0.8,2.9,20.7
14,Harrison Barnes,64,34.9,14.7,5.1,11.1,45.9,1.5,3.8,38.3,3.1,3.8,80.3,1.0,3.8,4.8,2.4,0.6,0.2,1.3,14.6
15,LeBron James,60,34.9,25.7,9.8,19.6,49.8,2.2,6.4,34.9,4.0,5.7,69.7,1.0,6.9,7.9,10.6,1.2,0.5,4.0,30.4
16,Zach LaVine,60,34.8,25.5,9.0,20.0,45.0,3.1,8.1,38.0,4.5,5.6,80.2,0.7,4.1,4.8,4.2,1.5,0.5,3.4,21.0
17,Domantas Sabonis,62,34.8,18.5,7.4,13.7,54.0,0.3,1.1,25.4,3.5,4.8,72.3,3.0,9.4,12.4,5.0,0.8,0.5,2.7,26.8
18,Jayson Tatum,59,34.6,23.6,8.5,18.9,44.8,2.8,7.1,39.8,3.8,4.7,80.6,1.0,6.1,7.1,2.9,1.4,0.9,2.2,22.3
19,Kelly Oubre Jr.,56,34.5,18.7,6.7,14.8,45.2,1.9,5.5,35.2,3.4,4.4,78.0,1.2,5.3,6.4,1.5,1.3,0.7,1.5,18.1
20,Rudy Gobert,62,34.5,15.1,5.7,8.2,69.8,0.0,0.0,0.0,3.7,5.9,62.1,3.4,10.3,13.7,1.5,0.8,2.0,1.9,26.4
21,Tobias Harris,65,34.5,19.4,7.6,16.1,47.2,1.8,5.0,36.2,2.4,2.9,80.6,0.8,5.9,6.8,3.2,0.8,0.5,1.5,20.0
22,P.J. Tucker,64,34.4,7.1,2.5,5.8,43.3,1.5,4.0,37.0,0.6,0.7,84.1,1.6,5.3,6.9,1.6,1.1,0.5,1.0,12.7
23,Andrew Wiggins,54,34.4,21.8,8.1,18.1,44.7,2.1,6.2,33.2,3.5,5.0,70.9,1.2,3.9,5.1,3.7,0.8,1.0,2.4,18.4
24,Donovan Mitchell,63,34.4,24.2,8.9,19.6,45.3,2.5,6.8,36.4,4.0,4.6,85.9,0.7,3.7,4.4,4.2,1.0,0.2,2.7,20.0
25,Terry Rozier,63,34.4,18.0,6.3,14.9,42.3,2.7,6.7,40.7,2.6,3.0,87.4,0.8,3.6,4.4,4.1,1.0,0.2,2.2,16.4
26,Bam Adebayo,65,34.4,16.2,6.3,11.1,56.7,0.0,0.2,7.7,3.6,5.3,69.0,2.5,8.0,10.5,5.1,1.2,1.3,2.8,25.1
27,Anthony Davis,55,34.3,26.7,9.2,18.1,51.1,1.2,3.5,33.5,7.0,8.3,84.5,2.3,7.1,9.4,3.1,1.5,2.4,2.5,30.5
28,Jimmy Butler,54,34.3,20.2,6.1,13.4,45.4,0.5,2.2,24.8,7.6,9.1,83.3,1.8,4.8,6.6,6.1,1.7,0.5,2.2,24.3
29,Brandon Ingram,56,34.3,24.3,8.4,18.0,46.6,2.4,6.3,38.7,5.1,5.9,85.8,0.9,5.4,6.3,4.3,1.0,0.7,3.1,22.9
30,DeMar DeRozan,61,34.3,22.2,8.2,15.7,52.6,0.1,0.5,26.7,5.5,6.6,84.3,0.6,5.0,5.6,5.6,1.0,0.2,2.4,23.8
31,Jaylen Brown,50,34.0,20.4,7.6,15.4,49.0,2.1,5.6,38.1,3.2,4.3,73.6,1.1,5.3,6.4,2.2,1.1,0.3,2.3,19.1
32,Gordon Hayward,45,33.4,17.3,6.8,13.5,50.2,1.6,4.2,39.2,2.1,2.5,84.7,1.0,5.5,6.5,4.1,0.8,0.4,1.8,20.3
33,Luka Doncic,54,33.3,28.7,9.5,20.6,46.1,2.9,9.1,31.8,6.8,9.1,75.2,1.3,8.0,9.3,8.7,1.1,0.2,4.2,30.4
34,Bojan Bogdanovic,63,33.1,20.2,6.6,14.8,44.7,3.0,7.3,41.4,4.0,4.4,90.3,0.6,3.5,4.1,2.1,0.5,0.1,2.5,15.9
35,LaMarcus Aldridge,53,33.1,18.9,7.4,15.0,49.3,1.2,3.0,38.9,3.0,3.6,82.7,1.9,5.5,7.4,2.4,0.7,1.6,1.4,21.4
36,Collin Sexton,65,33.0,20.8,7.9,16.7,47.2,1.5,3.9,38.0,3.5,4.1,84.6,0.9,2.2,3.1,3.0,1.0,0.1,2.4,16.1
37,Aaron Gordon,58,33.0,14.4,5.4,12.5,43.3,1.2,3.9,30.1,2.4,3.5,67.5,1.8,5.8,7.6,3.7,0.9,0.6,1.6,17.3
38,Will Barton,58,33.0,15.1,5.7,12.7,45.0,1.9,5.0,37.5,1.8,2.3,76.7,1.3,5.0,6.3,3.7,1.1,0.5,1.5,17.5
39,Andre Drummond,57,32.9,17.7,7.3,13.8,53.3,0.1,0.6,14.3,3.0,5.2,57.5,4.4,10.8,15.2,2.7,1.9,1.6,3.6,26.9
40,Jamal Murray,55,32.8,18.8,7.0,15.4,45.5,1.9,5.5,34.5,2.9,3.2,89.3,0.8,3.2,3.9,4.8,1.2,0.3,2.3,18.0
41,Nikola Vucevic,54,32.6,19.5,7.9,16.9,47.0,1.5,4.6,32.9,2.1,2.7,78.1,2.4,8.6,11.0,3.7,0.9,0.9,1.4,25.0
42,Carmelo Anthony,50,32.5,15.3,5.8,13.6,42.6,1.4,3.9,37.1,2.3,2.7,84.3,1.2,5.0,6.3,1.6,0.8,0.5,1.7,14.4
43,T.J. Warren,61,32.5,18.7,7.5,14.2,52.9,1.1,3.0,37.5,2.5,3.0,81.2,1.0,3.0,4.0,1.4,1.1,0.4,1.3,17.1
44,Marcus Smart,53,32.5,13.5,4.5,11.9,38.0,2.4,6.9,34.8,2.0,2.4,83.5,0.8,3.1,3.8,4.8,1.6,0.5,1.7,14.8
45,Julius Randle,64,32.5,19.5,7.2,15.7,46.0,1.0,3.6,27.7,4.0,5.5,73.3,2.4,7.4,9.7,3.1,0.8,0.3,3.0,20.5
46,Lonzo Ball,56,32.4,12.4,4.6,11.2,41.2,2.5,6.5,38.3,0.7,1.2,56.7,1.1,5.1,6.2,7.0,1.4,0.5,3.1,17.4
47,D'Angelo Russell,45,32.3,23.1,8.0,18.8,42.6,3.5,9.6,36.7,3.6,4.4,80.9,0.4,3.6,3.9,6.3,1.1,0.3,3.3,19.8
48,Nikola Jokic,65,32.3,20.2,7.9,14.9,52.8,1.1,3.5,31.4,3.4,4.1,81.3,2.4,7.8,10.2,6.9,1.2,0.7,3.1,28.2
49,Kawhi Leonard,51,32.2,26.9,9.3,19.9,46.9,2.1,5.7,36.6,6.1,6.9,88.9,1.0,6.3,7.3,5.0,1.8,0.6,2.7,27.5
50,Buddy Hield,64,32.0,19.8,7.1,16.6,42.9,3.8,9.7,39.5,1.8,2.0,85.5,0.9,3.9,4.8,3.1,0.9,0.3,2.3,16.8
51,De'Andre Hunter,63,32.0,12.3,4.4,10.8,41.0,1.7,4.8,35.5,1.7,2.3,76.4,0.7,3.8,4.5,1.8,0.7,0.3,1.6,11.1
52,Kevin Love,56,31.8,17.6,5.8,13.0,45.0,2.6,7.0,37.4,3.3,3.9,85.4,1.0,8.8,9.8,3.2,0.6,0.3,2.5,21.3
53,Gary Harris,56,31.8,10.4,3.9,9.3,42.0,1.3,3.8,33.3,1.3,1.6,81.5,0.5,2.4,2.9,2.1,1.4,0.3,1.1,10.3
54,Chris Paul,63,31.8,17.7,6.3,12.8,48.9,1.6,4.4,36.2,3.6,4.0,90.0,0.3,4.6,4.9,6.8,1.6,0.1,2.2,22.0
55,Kemba Walker,50,31.8,21.2,7.0,16.6,42.1,3.3,8.8,37.7,3.9,4.5,86.7,0.7,3.4,4.1,4.9,0.9,0.5,2.1,19.3
56,De'Aaron Fox,45,31.7,20.4,7.3,15.4,47.5,1.0,3.4,30.7,4.8,6.8,70.3,0.7,3.4,4.0,6.8,1.4,0.5,3.1,19.9
57,Evan Fournier,61,31.7,18.8,6.7,14.2,47.0,2.7,6.7,40.6,2.8,3.4,82.0,0.3,2.3,2.6,3.2,1.1,0.2,2.0,15.8
58,Ricky Rubio,57,31.6,13.1,4.4,10.7,41.2,1.2,3.3,35.1,3.1,3.6,85.3,0.7,3.9,4.6,8.9,1.5,0.2,2.7,18.8
59,Marcus Morris Sr.,55,31.4,17.4,5.9,13.6,43.3,2.4,5.9,41.0,3.1,3.8,82.3,1.0,4.1,5.1,1.4,0.8,0.5,1.6,15.1
60,Kevin Huerter,56,31.4,12.2,4.5,10.9,41.3,2.3,6.0,38.0,0.9,1.1,82.8,0.6,3.4,4.1,3.8,0.9,0.5,1.6,13.3
61,Kristaps Porzingis,51,31.3,19.2,6.6,15.8,42.0,2.5,7.1,34.9,3.5,4.5,77.6,1.7,7.7,9.5,1.7,0.7,2.1,1.6,21.4
62,Hassan Whiteside,61,31.3,16.3,6.9,11.1,61.8,0.1,0.1,57.1,2.5,3.7,68.0,4.0,10.2,14.2,1.2,0.4,3.1,1.9,27.9
63,Spencer Dinwiddie,64,31.2,20.6,6.6,16.0,41.5,1.9,6.3,30.8,5.4,7.0,77.8,0.5,3.0,3.5,6.8,0.6,0.3,2.7,18.2
64,Dennis Schroder,63,31.0,19.0,7.0,15.0,46.8,1.9,5.1,38.1,3.1,3.7,83.9,0.3,3.4,3.7,4.1,0.7,0.2,2.5,16.6
65,Joe Harris,63,30.9,13.9,5.3,11.2,47.1,2.4,5.9,41.2,1.0,1.3,74.7,1.0,3.4,4.3,2.1,0.6,0.3,1.5,13.4
66,Giannis Antetokounmpo,57,30.9,29.6,10.9,20.0,54.7,1.5,4.8,30.6,6.3,10.0,63.3,2.3,11.5,13.7,5.8,1.0,1.0,3.7,34.8
67,Darius Garland,59,30.9,12.3,4.7,11.8,40.1,1.8,5.0,35.5,1.1,1.2,87.5,0.5,1.4,1.9,3.9,0.7,0.1,2.6,9.1
68,Al Horford,60,30.8,12.0,4.8,10.9,44.2,1.5,4.4,33.7,0.9,1.2,75.3,1.5,5.3,6.9,4.1,0.9,0.9,1.1,17.3
69,Josh Richardson,48,30.7,13.8,5.1,12.0,42.9,1.5,4.5,32.7,2.1,2.7,78.9,0.8,2.6,3.4,3.1,0.9,0.7,1.9,12.6
70,Miles Bridges,65,30.7,13.0,4.9,11.6,42.4,1.5,4.6,33.0,1.6,2.0,80.9,1.4,4.2,5.6,1.8,0.6,0.7,1.5,13.1
71,Malcolm Brogdon,48,30.7,16.3,6.0,13.7,43.9,1.3,4.1,31.3,3.0,3.4,89.5,0.8,3.9,4.7,7.1,0.7,0.2,2.4,18.6
72,Danilo Gallinari,55,30.7,19.2,6.0,13.6,43.9,3.0,7.3,40.9,4.3,4.8,88.6,0.6,4.9,5.5,2.1,0.7,0.1,1.3,18.1
73,RJ Barrett,56,30.4,14.3,5.2,13.0,40.2,1.1,3.5,32.0,2.8,4.5,61.4,0.9,4.1,5.0,2.6,1.0,0.3,2.2,11.4
74,P.J. Washington,58,30.3,12.2,4.6,10.2,45.5,1.5,4.0,37.4,1.5,2.3,64.7,1.0,4.4,5.4,2.1,0.9,0.8,1.6,13.5
75,Tristan Thompson,57,30.2,12.0,5.1,9.9,51.2,0.2,0.4,39.1,1.7,2.8,61.5,4.0,6.2,10.1,2.1,0.6,0.9,1.8,18.0
76,Khris Middleton,55,30.1,21.1,7.7,15.5,49.9,2.4,5.8,41.8,3.2,3.6,90.8,0.7,5.5,6.2,4.1,0.9,0.1,2.1,22.3
77,Robert Covington,62,30.1,12.8,4.5,10.5,43.2,2.4,6.8,34.9,1.4,1.7,79.6,0.9,5.5,6.4,1.2,1.5,1.3,1.5,15.4
78,OG Anunoby,63,30.1,10.7,4.2,8.4,50.7,1.3,3.4,38.1,0.9,1.4,68.6,1.2,4.2,5.4,1.6,1.4,0.7,1.2,14.0
79,Duncan Robinson,65,30.0,13.3,4.4,9.4,46.7,3.7,8.4,44.8,0.7,0.8,90.6,0.1,3.1,3.3,1.4,0.5,0.2,0.9,12.7
80,Danuel House Jr.,58,30.0,10.2,3.6,8.3,42.7,1.9,5.4,36.3,1.2,1.5,80.0,1.0,3.3,4.2,1.3,1.1,0.6,0.8,11.6
81,Ja Morant,59,30.0,17.6,6.7,13.6,49.1,0.9,2.4,36.7,3.5,4.5,77.0,0.7,2.8,3.5,6.9,0.9,0.3,3.2,18.1
82,Joe Ingles,64,29.9,9.8,3.4,7.7,44.1,1.9,4.8,39.7,1.0,1.3,77.4,0.4,3.6,4.0,5.2,0.9,0.1,1.9,13.4
83,Kendrick Nunn,62,29.8,15.6,6.1,13.7,44.8,2.1,5.8,36.2,1.2,1.5,83.7,0.3,2.4,2.7,3.4,0.8,0.2,1.6,13.3
84,Lauri Markkanen,50,29.8,14.7,5.0,11.8,42.5,2.2,6.3,34.4,2.5,3.1,82.4,1.2,5.1,6.3,1.5,0.8,0.5,1.6,14.8
85,Dorian Finney-Smith,64,29.7,9.3,3.3,7.1,46.8,1.5,4.1,37.4,1.1,1.5,72.2,2.0,3.5,5.5,1.5,0.7,0.6,1.0,12.4
86,Myles Turner,55,29.6,11.8,4.2,9.4,45.1,1.4,4.2,33.6,2.0,2.6,75.0,1.3,5.3,6.5,1.1,0.8,2.2,1.2,15.4
87,Cedi Osman,65,29.4,11.0,4.1,9.4,43.7,1.9,4.9,38.3,1.0,1.4,67.0,0.6,3.0,3.6,2.4,0.8,0.2,1.4,10.9
88,Lou Williams,60,29.3,18.7,6.1,14.7,41.6,1.8,4.9,36.3,4.6,5.4,86.3,0.5,2.6,3.1,5.7,0.7,0.2,2.9,16.1
89,Davis Bertans,54,29.3,15.4,4.9,11.3,43.4,3.7,8.7,42.4,1.9,2.3,85.2,0.6,3.9,4.5,1.7,0.7,0.6,1.1,15.2
90,Jae Crowder,58,29.2,10.4,3.4,8.8,38.4,1.9,6.1,31.8,1.6,2.1,78.5,0.8,5.3,6.1,2.6,1.2,0.4,1.1,13.6
91,Royce O'Neale,64,29.1,6.3,2.2,5.0,43.9,1.3,3.3,38.9,0.6,0.8,73.5,0.3,5.0,5.3,2.5,0.7,0.4,0.8,11.5
92,Glenn Robinson III,60,29.1,11.8,4.7,9.6,48.6,1.2,3.2,38.7,1.2,1.4,86.7,1.3,3.0,4.3,1.6,0.9,0.3,0.9,12.9
93,Taurean Prince,64,29.0,12.1,4.3,11.5,37.6,2.3,6.7,33.9,1.1,1.4,79.8,0.8,5.2,6.0,1.8,0.9,0.4,2.0,11.7
94,Damion Lee,49,29.0,12.7,4.3,10.4,41.7,1.7,4.9,35.6,2.2,2.6,87.3,0.7,4.2,4.9,2.7,1.0,0.1,1.4,13.6
95,Tomas Satoransky,65,28.9,9.9,3.6,8.5,43.0,1.0,3.1,32.2,1.6,1.9,87.6,1.2,2.7,3.9,5.4,1.2,0.1,2.0,13.5
96,Tim Hardaway Jr.,63,28.8,15.8,5.5,12.6,43.7,2.9,7.2,40.7,1.9,2.4,80.1,0.4,2.8,3.1,2.0,0.6,0.1,1.0,13.1
97,Dillon Brooks,65,28.5,15.7,5.7,14.2,40.2,2.0,5.5,36.9,2.2,2.7,80.9,0.9,2.3,3.3,2.0,0.9,0.4,1.7,11.5
98,Bogdan Bogdanovic,53,28.5,14.5,5.2,12.1,43.3,2.6,7.2,36.1,1.4,2.0,72.4,0.3,2.9,3.2,3.2,1.0,0.3,1.7,13.1
99,Nemanja Bjelica,64,28.5,11.9,4.5,9.4,47.5,2.0,4.6,42.4,0.9,1.1,82.2,1.7,4.8,6.4,2.8,0.8,0.5,1.4,15.9
100,Goran Dragic,54,28.4,16.1,5.4,12.3,43.7,2.2,5.8,37.7,3.1,4.1,76.9,0.5,2.6,3.1,5.1,0.6,0.1,2.5,14.6
101,Markelle Fultz,64,28.3,12.1,5.0,10.6,47.3,0.5,1.8,25.4,1.6,2.2,72.3,0.5,2.8,3.3,5.2,1.3,0.2,2.0,13.8
102,Bruce Brown,58,28.2,8.9,3.4,7.7,44.3,0.6,1.7,34.4,1.5,2.1,73.9,1.1,3.7,4.7,4.0,1.1,0.5,1.7,12.6
103,Trevor Ariza,53,28.2,8.0,2.7,6.1,43.8,1.5,3.9,37.2,1.2,1.4,83.8,0.6,4.0,4.6,1.7,1.3,0.3,1.1,11.2
104,Garrett Temple,55,28.1,10.3,3.6,9.5,37.8,2.0,6.3,32.4,1.0,1.3,76.7,0.5,2.9,3.5,2.6,0.8,0.5,1.0,10.3
105,Jeremy Lamb,46,28.1,12.5,4.7,10.4,45.1,1.2,3.4,33.5,2.0,2.4,83.6,0.5,3.8,4.3,2.1,1.2,0.5,1.1,13.5
106,Jaren Jackson Jr.,54,28.0,16.9,6.1,13.0,46.8,2.5,6.3,39.7,2.3,3.1,74.1,1.0,3.7,4.7,1.4,0.7,1.6,1.7,15.9
107,Montrezl Harrell,63,27.8,18.6,7.5,12.9,58.0,0.0,0.3,0.0,3.7,5.6,65.8,2.6,4.5,7.1,1.7,0.6,1.1,1.7,20.1
108,Tony Snell,59,27.8,8.0,2.9,6.5,44.5,1.7,4.3,40.2,0.5,0.5,100,0.2,1.7,1.9,2.2,0.5,0.3,0.5,8.7
109,Eric Paschall,60,27.6,14.0,5.3,10.7,49.7,0.6,2.2,28.7,2.7,3.5,77.4,1.4,3.2,4.6,2.1,0.5,0.2,1.6,13.7
110,Landry Shamet,47,27.5,9.7,3.1,7.5,41.6,2.2,5.7,39.2,1.2,1.3,90.5,0.1,1.8,1.9,1.9,0.4,0.2,0.8,8.8
111,Serge Ibaka,50,27.5,16.0,6.5,12.5,51.8,1.3,3.3,39.8,1.8,2.4,74.8,2.1,6.2,8.3,1.5,0.5,0.8,2.0,18.5
112,Josh Hart,57,27.4,10.2,3.5,8.4,41.6,1.9,5.7,34.2,1.2,1.6,74.7,0.9,5.5,6.5,1.6,1.0,0.4,1.1,13.2
113,Alec Burks,59,27.3,15.1,4.8,11.9,40.4,1.7,4.6,36.6,3.8,4.3,89.6,0.7,3.7,4.4,2.9,1.0,0.3,1.4,14.7
114,Terrence Ross,63,27.3,14.8,5.0,12.3,40.7,2.6,7.2,35.7,2.2,2.6,84.5,0.2,3.0,3.2,1.2,1.1,0.3,1.0,11.9
115,Mikal Bridges,65,27.3,8.7,3.2,6.3,51.6,0.9,2.4,35.2,1.4,1.6,84.8,0.9,3.1,4.0,1.8,1.4,0.6,1.0,12.2
116,Eric Bledsoe,56,27.2,15.4,5.7,11.8,48.2,1.3,3.6,34.8,2.8,3.4,81.3,0.7,3.9,4.6,5.4,0.9,0.4,2.5,17.6
117,Tyler Herro,47,27.2,12.9,4.7,11.3,41.4,2.1,5.4,39.1,1.4,1.7,83.5,0.3,3.7,4.0,1.9,0.6,0.1,1.5,11.1
118,Patrick Beverley,48,27.1,7.9,2.9,6.8,42.8,1.6,4.1,37.9,0.6,0.9,65.9,1.2,4.2,5.4,3.7,1.1,0.5,1.3,13.2
119,Steven Adams,58,27.0,10.9,4.5,7.6,59.1,0.0,0.1,33.3,1.9,3.2,59.0,3.4,6.0,9.4,2.4,0.9,1.1,1.5,18.8
120,Cam Reddish,58,26.7,10.5,3.7,9.6,38.4,1.4,4.3,33.2,1.7,2.2,80.2,0.6,3.1,3.7,1.5,1.1,0.5,1.7,9.3
121,Brook Lopez,61,26.6,11.0,4.0,9.4,42.7,1.4,4.7,29.6,1.6,2.0,81.0,0.7,3.8,4.5,1.6,0.7,2.4,1.0,13.4
122,JJ Redick,54,26.4,14.9,4.6,10.3,45.0,2.9,6.4,45.2,2.7,3.0,90.2,0.2,2.4,2.6,2.0,0.4,0.2,1.2,12.8
123,Larry Nance Jr.,56,26.3,10.1,4.1,7.7,53.1,1.0,2.8,35.2,0.9,1.3,67.6,1.9,5.4,7.3,2.2,1.0,0.4,1.1,15.9
124,Jonas Valanciunas,62,26.3,14.9,6.2,10.6,58.6,0.5,1.3,36.7,2.0,2.7,73.2,3.1,8.2,11.2,1.8,0.4,1.1,1.7,22.5
125,Jerami Grant,64,26.2,11.6,4.1,8.7,47.1,1.4,3.4,40.0,2.0,2.7,74.4,0.8,2.7,3.5,1.2,0.7,0.8,0.9,11.7
126,Ish Smith,60,26.2,10.5,4.4,9.7,45.1,0.9,2.5,36.7,0.8,1.2,68.6,0.5,2.7,3.2,4.8,0.9,0.4,1.3,12.7
127,Derrick Rose,50,26.0,18.1,7.4,15.1,49.0,0.9,2.9,30.6,2.4,2.8,87.1,0.5,1.9,2.4,5.6,0.8,0.3,2.5,16.6
128,Langston Galloway,66,25.8,10.3,3.6,8.2,43.5,2.0,5.0,39.9,1.1,1.3,85.9,0.5,1.8,2.3,1.5,0.7,0.2,0.6,9.5
